SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
PR,79910,PRANCHITA,83,45.33970653623833,4498,2297,2201,1,168,23,253,1242,119,8,30,1841,93,2,1,5,2,62,147
RS,89338,TORRES,85,46.57472088497388,29289,15542,13747,2,0,0,0,5997,0,0,0,14136,0,0,0,0,0,692,1620
RS,85570,CACEQUI,69,47.92547033285094,8292,4352,3940,2,0,0,0,3290,0,0,0,2850,0,0,0,0,0,179,487
AC,1570,ASSIS BRASIL,6,39.21568285015718,5726,2871,2855,1,5,29,98,1808,345,9,40,1955,10,2,4,20,2,37,228
RS,86592,FELIZ,165,43.94015670910872,10210,5188,5022,1,54,17,843,1168,431,35,252,5078,442,1,1,28,3,250,452
DF,97012,BRASÍLIA,15,42.109018374577715,145639,78590,67049,1,949,1051,22739,10025,2851,728,1450,69738,5422,40,46,2203,56,1412,2601
RS,87858,PASSO FUNDO,33,44.730893176285164,71061,38408,32653,2,0,0,0,19753,0,0,0,33299,0,0,0,0,0,1705,2798
SP,61522,ASPÁSIA,427,46.530897367006986,1861,922,935,2,0,0,0,455,0,0,0,818,0,0,0,0,0,22,112
RS,87750,PAIM FILHO,95,47.06570896515031,3759,1856,1903,2,0,0,0,1392,0,0,0,1534,0,0,0,0,0,61,143
GO,96237,TRÊS RANCHOS,8,45.168333809659906,3499,1666,1833,2,0,0,0,1182,0,0,0,1183,0,0,0,0,0,35,160
MT,90239,ARAGUAINHA,8,45.05168776371308,948,440,508,2,0,0,0,296,0,0,0,329,0,0,0,0,0,20,35
